id,name,manufacturer,manufacturerID,type,H,S,A,B,C28,C70,retention,USPtype,phase
1,Zorbax C18,Agilent Technologies,1,A,1.08,0.05,0.47,0.06,1.48,1.56,10.7,L1,C18
2,Zorbax C8,Agilent Technologies,1,A,0.97,-0.04,0.21,0.17,0.97,1.05,8.3,L7,C8
3,Zorbax Eclipse XDB-C18,Agilent Technologies,1,B,1.07,0.02,-0.06,-0.03,0.05,0.08,9.1,L1,C18
4,Zorbax Eclipse XDB-C8,Agilent Technologies,1,B,0.91,0.02,-0.21,0,0,0.01,6.6,L7,C8
5,Zorbax Extend C18,Agilent Technologies,1,B,1.09,0.05,0.01,-0.04,0.03,0.01,8.4,L1,C18
6,Zorbax Rx-18,Agilent Technologies,1,B,1.07,0.03,0.3,-0.03,0.09,0.41,7.7,L1,C18
7,Zorbax Rx-C8,Agilent Technologies,1,B,0.79,-0.07,0.11,0.01,0.01,0.94,5,L7,C8
8,Zorbax StableBond 300A C18,Agilent Technologies,1,B,0.9,-0.05,0.04,0.04,0.25,0.7,2.2,L1,C18
9,Zorbax StableBond 300A C3,Agilent Technologies,1,B,0.52,-0.12,-0.19,0.04,0.05,0.35,0.7,L56,C3
10,Zorbax StableBond 300A C8,Agilent Technologies,1,B,0.7,-0.08,0,0.04,0.14,0.82,1.3,L7,C8
11,Zorbax StableBond 80A C18,Agilent Technologies,1,B,0.99,-0.03,0.26,0,0.13,1.04,7.6,L1,C18
12,Zorbax StableBond 80A C3,Agilent Technologies,1,B,0.6,-0.12,-0.08,0.03,-0.08,0.81,2.8,L56,C3
13,Zorbax StableBond 80A C8,Agilent Technologies,1,B,0.79,-0.07,0.13,0.01,0.01,1.02,5.1,L7,C8
15,Zorbax SB-AQ,Agilent Technologies,1,EP,0.59,-0.12,-0.08,0.03,-0.13,0.73,2.5,,EP
16,Zorbax SB-Phenyl,Agilent Technologies,1,phenyl,0.62,-0.16,0.06,0.03,0.03,1.08,2.7,L11,Phenyl
17,Zorbax XDB-Phenyl,Agilent Technologies,1,phenyl,0.66,-0.12,-0.24,0.01,0.06,0.58,3.2,L11,Phenyl
18,Zorbax SB-CN,Agilent Technologies,1,CN,0.5,-0.1,-0.22,0.04,-0.14,1.04,1.7,L10,CN
19,Zorbax Eclipse XDB-CN,Agilent Technologies,1,CN,0.45,-0.06,-0.31,0,0.07,0.99,1.3,L10,CN
20,Kromasil 100 5 C18,Kromasil by Nouryon,34,B,1.05,0.03,-0.07,-0.02,0.03,-0.05,12.5,L1,C18
21,Kromasil 100 5 C4,Kromasil by Nouryon,34,B,0.73,0,-0.33,0.01,0,0,5,L26,C4
22,Kromasil 100 5 C8,Kromasil by Nouryon,34,B,0.86,0.01,-0.21,0.01,0.05,0,7.6,L7,C8
23,Kromasil KR60 5 CN,Kromasil by Nouryon,34,CN,0.44,-0.13,-0.57,-0.01,0.21,1.03,2,L10,CN
24,Adsorbosphere C18,Grace/Alltech,42,A,0.98,-0.07,0.07,-0.04,1.49,1.68,7.7,L1,C18
25,Adsorpbosphere UHS C18,Grace/Alltech,42,B,1.1,0,0.4,-0.04,-0.12,-0.12,18.2,L1,C18
26,Allsphere ODS1,Grace/Alltech,42,A,0.73,-0.16,0.38,0,0.84,1.14,4.7,L1,C18
27,Allsphere ODS2,Grace/Alltech,42,A,1,-0.04,0.24,-0.02,0.96,1.28,8,L1,C18
28,Alphabond (C18),Grace/Alltech,42,A,0.84,-0.09,0.06,0,0.57,1.76,5.3,L1,C18
